                                   icb_name                                    | icb_code | total_items | total_actual_cost | avg_cost_per_item | cost_rank | avg_cost_per_item_rank | percent_of_national_cost | cumulative_percent_of_national_cost 
 NHS DORSET INTEGRATED CARE BOARD                                              | QVV      |     1468117 |       11861254.94 |              8.08 |        36 |                     29 |                     1.31 |                               93.36
 NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD                                    | QPM      |     1551836 |       11520265.54 |              7.42 |        37 |                     40 |                     1.27 |                               94.64
 NHS FRIMLEY INTEGRATED CARE BOARD                                             | QNQ      |     1087055 |       10718489.41 |              9.86 |        38 |                      4 |                     1.18 |                               95.82
 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD                    | QT6      |     1289510 |       10475899.04 |              8.12 |        39 |                     27 |                     1.16 |                               96.98
 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD                                     | QR1      |     1275316 |        9617375.19 |              7.54 |        40 |                     38 |                     1.06 |                               98.04
 NHS SOMERSET INTEGRATED CARE BOARD                                            | QSL      |     1009035 |        8875334.32 |              8.80 |        41 |                     17 |                     0.98 |                               99.02
 NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD                      | QOC      |      905026 |        8513158.38 |              9.41 |        42 |                     10 |                     0.94 |                               99.96
 UNIDENTIFIED                                                                  | -        |       14653 |         347294.94 |             23.70 |        43 |                      1 |                     0.04 |                              100.00
(43 rows)

