                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
 NHS DORSET INTEGRATED CARE BOARD                                              | QVV      | SHORE MEDICAL                            | J81012        | BH14 0DJ |       83950 |         762485.03 |              9.08 |                 74435.18 |                180748.01 |                   340217.26 |              422267.77
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | REGIS MEDICAL CENTRE                     | M88004        | B65 0BA  |       73299 |         749949.38 |             10.23 |                  6662.28 |                135303.21 |                   328264.61 |              421684.77
 NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD                     | QUE      | GRANTA MEDICAL PRACTICES                 | D81043        | CB22 3HU |      107838 |         763383.09 |              7.08 |                 36706.83 |                158954.00 |                   342324.75 |              421058.34
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | CARLISLE HEALTHCARE                      | A82016        | CA1 3UB  |       75181 |         816438.02 |             10.86 |                  4693.66 |                163218.15 |                   401004.89 |              415433.13
 NHS GREATER MANCHESTER INTEGRATED CARE BOARD                                  | QOP      | TOWER FAMILY HEALTHCARE                  | P83012        | BL8 4AD  |       83077 |         702932.36 |              8.46 |                  3862.15 |                125093.94 |                   306941.63 |              395990.73
 NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD                    | QGH      | HEREFORD MEDICAL GROUP                   | M81026        | HR1 1BB  |       70910 |         804573.22 |             11.35 |                   125.35 |                169351.49 |                   423190.69 |              381382.53
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | PORTSDOWN GROUP PRACTICE                 | J82155        | PO2 8AL  |      103392 |         914152.27 |              8.84 |                 15781.71 |                231127.75 |                   554146.82 |              360005.45
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | MODALITY PARTNERSHIP (HULL)              | B81048        | HU5 2NT  |       99713 |         809961.09 |              8.12 |                  3215.96 |                183626.96 |                   454243.46 |              355717.63
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | HEALTH AND BEYOND                        | M92612        | WV2 2AU  |       77880 |         658476.89 |              8.46 |                  6662.28 |                135303.21 |                   328264.61 |              330212.28
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | PRIORY MEDICAL GROUP                     | B82005        | YO24 3WX |       83276 |         772988.78 |              9.28 |                  3215.96 |                183626.96 |                   454243.46 |              318745.32
