                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | distinct_chemicals | total_actual_cost | avg_cost_per_item 
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | DRS REDDY AND NUNN                       | B81069        | YO16 4LZ |       84713 |                778 |         664893.19 |              7.85
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | THE ROXTON PRACTICE                      | B81039        | DN40 1JW |       79142 |                771 |         658516.24 |              8.32
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | HEALTH AND BEYOND                        | M92612        | WV2 2AU  |       77880 |                781 |         658476.89 |              8.46
 NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD                     | QUE      | BOROUGHBURY MEDICAL CENTRE               | D81026        | PE1 2EJ  |       87885 |                808 |         655255.75 |              7.46
 NHS KENT AND MEDWAY INTEGRATED CARE BOARD                                     | QKS      | WHITSTABLE MEDICAL PRACTICE              | G82071        | CT5 3SE  |       70297 |                807 |         653827.00 |              9.30
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | RWT PRACTICES PENN MANOR MEDICAL CENTRE  | M92011        | WV4 5PY  |       71926 |                789 |         642719.44 |              8.94
 NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD                        | QM7      | STANMORE MEDICAL GROUP                   | E82005        | SG1 3QA  |       73851 |                771 |         631312.54 |              8.55
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | HULL FAMILY PRACTICE                     | B81008        | HU9 2LJ  |       92134 |                791 |         629686.55 |              6.83
 NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD                                    | QPM      | LAKESIDE HEALTHCARE                      | K83002        | NN17 1TR |       82047 |                785 |         629180.38 |              7.67
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | JAMES STREET GROUP PRACT                 | A82047        | CA14 2DL |       79779 |                800 |         624795.89 |              7.83
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      | WESTROP MEDICAL PRACTICE                 | J83002        | SN6 7DN  |       70634 |                751 |         617943.60 |              8.75
 NHS LINCOLNSHIRE INTEGRATED CARE BOARD                                        | QJM      | BEACON MEDICAL PRACTICE                  | C83019        | PE25 2RN |       89284 |                737 |         610169.96 |              6.83
 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD                    | QT6      | ST AUSTELL HEALTH GROUP                  | Y04957        | PL25 3EF |       68516 |                769 |         609149.84 |              8.89
 NHS DORSET INTEGRATED CARE BOARD                                              | QVV      | THE ADAM PRACTICE                        | J81006        | BH15 4JQ |       65263 |                740 |         605819.88 |              9.28
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      | MENDIP VALE MEDICAL PRACTICE             | L81086        | BS40 5EL |       76355 |                733 |         588645.75 |              7.71
 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD               | QK1      | LATHAM HOUSE MEDICAL PRACTICE            | C82038        | LE13 1NX |       53175 |                737 |         584198.97 |             10.99
 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD               | QK1      | WILLOWS HEALTH                           | Y00137        | LE5 4LJ  |       58578 |                739 |         577622.72 |              9.86
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | YORK MEDICAL GROUP                       | B82083        | YO24 4HD |       64376 |                776 |         568521.21 |              8.83
 NHS SUSSEX INTEGRATED CARE BOARD                                              | QNX      | ADUR HEALTH PARTNERSHIP                  | H82023        | BN43 5US |       55359 |                729 |         567125.97 |             10.24
(50 rows)

